Date,Value
224,42450
265,277722
270,89595
271,87822
273,56154
274,85155
275,63786
277,51297
278,77517
279,62100
280,63876
282,86505
283,77094
287,64791
288,72159
289,51693
291,62079
295,86988
297,47634
299,74127
302,84438
304,67350
305,72006
306,98040
307,81084
309,82068
310,70674
312,73197
313,78522
315,107157
316,85341
317,54156
318,96138
320,56811
322,88911
323,62652
324,75942
327,124278
328,49602
331,57684
334,94512
335,96849
336,92658
338,63393
341,63735
342,57195
343,98226
344,86784
345,64800
349,2712
351,81726
352,78228
353,121272
354,67467
355,72171
