Date,Value
151,58257
152,56787
153,44583
155,49791
156,44736
157,69678
159,57201
161,100392
162,62364
164,48867
165,61854
166,71412
167,51474
170,54213
171,60882
172,55167
173,62115
174,66321
180,35907
183,60957
184,57825
186,57693
187,66303
188,63687
189,68931
193,57852
194,48975
195,50751
196,47751
199,60936
200,55854
201,63750
203,53385
204,59376
205,42303
206,54732
229,917856
231,187392
232,590241
233,585420
235,1011666
242,545433
243,618738
244,1212270
245,1029327
249,1072674
250,1347507
252,653091
253,1032282
254,364278
255,1160214
257,315924
258,1177452
259,708786
260,1237554
261,366744
266,1093347
267,1212357
268,1325493
269,1086537
271,1161330
272,665898
273,927270
274,1053789
276,919269
281,1065897
282,657474
283,861711
284,1201170
286,1043064
287,541005
288,854391
290,819354
291,1035858
292,1045668
293,1172628
294,1099029
297,429045
301,553413
302,972333
303,855867
305,1196832
306,790161
307,661959
309,1302591
310,928356
314,1059
315,332076
317,1193022
318,1049928
319,1136358
320,822753
322,409914
323,970686
324,1160397
326,150531
327,678615
328,1088760
331,625281
332,1367865
333,1330950
334,785964
335,1207545
337,815673
338,567267
341,462009
342,629691
345,999738
348,578796
349,300831
350,1069569
352,1056567
353,604821
354,463617
355,1019385
356,702441
358,857559
360,539580
362,452277
363,1155567
364,1088529
366,472068
368,1352397
369,1060194
370,857181
372,904623
374,660285
375,535674
377,565929
382,1374783
383,1156827
384,863724
385,1035315
386,665949
392,1070640
394,790341
395,1026627
396,761385
397,952431
398,585366
399,475767
400,239808
402,775383
406,1123401
407,1011612
408,410646
411,1081455
412,1202037
413,490980
415,365958
417,714585
418,972495
419,1064850
421,669252
422,791043
424,871764
428,1055598
429,1001724
430,711561
432,390828
434,618378
438,1249563
441,1259820
443,798231
444,557865
445,1074783
448,1386897
449,944868
452,1030281
455,836142
456,1183659
458,1095894
459,364446
461,1056264
462,452070
463,704202
464,266676
467,972609
469,1192068
472,1363950
473,1230819
475,1080636
477,670923
478,1137822
479,630594
480,601962
481,814695
482,1030704
485,530625
487,1180071
488,669060
489,464724
490,1155654
492,941472
493,327294
494,423837
495,293859
499,1415472
500,1097034
501,708417
503,834285
504,679953
505,1336548
506,956133
507,385755
509,961785
