Date,Value
212,21891
213,13251
214,14505
215,17934
216,27636
221,12321
222,5652
229,9981
230,11610
233,13656
236,12903
239,10584
242,14958
244,16443
245,11916
249,10236
253,13623
254,15348
257,13725
264,18621
271,24813
274,24147
275,21327
278,147960
279,166956
280,172710
281,126102
282,144735
283,149292
284,170379
285,140592
286,130023
287,134559
288,171243
289,150495
290,152598
291,147456
292,125319
294,175785
297,158874
298,187395
301,158001
304,146961
305,98406
307,152658
309,148239
312,116220
318,144183
320,152424
322,119004
323,165774
324,126777
325,130275
326,141138
328,119805
329,190461
330,100620
334,127368
336,165216
338,142737
339,149055
341,174621
343,141357
344,117510
346,173154
347,151260
348,153828
349,152835
355,6756
356,123780
360,157209
361,168561
362,195021
363,180201
364,111369
370,216480
371,268158
372,474861
373,306246
374,237009
375,151173
376,302817
377,301509
378,224037
379,174903
380,352017
381,405462
382,426909
383,331833
384,297234
385,230109
386,385971
387,352758
388,297996
389,307602
390,314856
391,44973
392,432927
393,204951
394,461655
395,51147
396,124371
397,310731
398,284907
399,33861
400,27429
401,34836
402,46056
403,378075
404,296676
405,463494
406,49350
407,220665
408,51978
409,51255
410,412977
411,390162
412,373623
413,54180
414,351966
415,315300
416,28839
417,391536
418,42174
419,32658
420,32664
421,238215
422,310839
423,43767
424,358965
425,414936
426,57318
427,152415
428,186171
429,50490
430,270324
431,381312
432,377517
433,54360
434,302577
435,37383
436,45120
437,313626
438,460194
439,351072
440,407397
441,382056
442,40302
443,462657
444,310740
445,308754
446,46848
447,37422
448,464496
449,338115
450,238539
451,474255
452,280263
453,26778
454,30402
455,508218
456,353529
457,26211
458,31497
459,28815
460,53445
461,289227
462,352377
463,303555
464,314784
465,33660
466,387117
467,57726
468,372519
469,195780
470,41484
471,212997
472,114894
473,27309
474,454638
475,33858
476,198807
477,387576
478,35802
479,359553
480,449769
481,140583
482,384981
483,603024
484,299478
485,54336
486,215622
487,46995
488,194511
489,57735
490,31068
491,241329
492,40716
493,56283
494,24954
495,185619
496,32952
497,435249
498,302001
499,244389
500,318753
501,28791
502,35352
503,45783
504,371838
505,320292
506,312864
507,153339
508,239874
509,33993
510,28560
511,34728
512,421158
513,473349
514,58803
515,42897
516,188484
517,458754
518,384108
519,235086
520,311418
521,304821
522,27057
523,372252
524,256383
525,289374
526,365055
527,33633
528,372333
529,241140
530,469074
531,33108
532,219540
533,184935
534,53991
535,251202
536,31395
537,42225
538,302526
539,286758
540,34398
541,34776
542,187533
543,53196
544,144372
545,36921
546,600888
547,385251
548,382443
549,27282
550,247713
551,228342
552,45975
553,34596
554,34470
555,34227
556,56781
557,61566
558,250494
559,31395
560,26175
561,340245
562,36495
563,234366
564,33609
565,41484
566,283548
567,233370
568,300396
569,34020
570,29682
571,382920
573,235125
574,50760
575,35505
576,371082
577,29925
578,371910
579,451035
580,25779
581,18516
