Date,Value
150,57915
151,34761
152,46083
153,30231
154,51597
155,52239
156,50112
157,29298
160,45825
161,51123
163,51000
165,49677
166,51633
167,48174
169,51744
174,54396
175,45270
176,47970
177,26535
178,56151
179,53199
181,43206
182,54933
184,28746
185,54078
186,51987
187,46620
188,33903
191,52098
193,44799
195,50400
196,40509
197,57480
198,43296
200,56949
205,48768
206,43740
202,25149
203,23439
204,18219
205,20100
206,33600
207,25833
209,29451
211,24330
212,15273
213,17562
216,22749
219,20826
220,17361
221,22833
224,30969
225,12948
226,21270
230,27090
232,10209
234,27630
236,16881
237,7290
238,23781
239,26352
240,19185
241,30075
242,22014
243,18216
244,22068
245,8238
246,25782
249,24054
252,25974
253,21636
254,20280
256,18204
257,20610
254,18450
256,20502
259,20847
261,23892
263,17448
264,22473
266,22596
267,30606
269,32139
270,19602
274,21429
275,19512
277,19470
280,17475
281,20322
284,18882
286,23775
291,18396
292,12222
312,46959
314,130980
315,75609
318,71565
320,123105
321,134697
323,81900
325,95334
326,136095
327,133302
330,119517
332,131511
334,83568
335,131256
336,141654
337,82833
338,132195
339,136452
341,18360
347,88512
348,140385
349,143589
350,145863
351,58038
352,140262
353,141249
355,19272
356,138918
357,138564
358,131031
359,131469
360,123369
361,134037
362,133497
365,144573
366,132372
367,142593
393,2762178
394,2170797
395,3431691
396,3154167
398,3327012
402,2991498
403,2977311
408,2766309
409,3203748
410,2621472
412,2792364
413,2101245
414,2458242
415,3042663
416,3331770
417,3121515
418,2896806
419,2547273
420,2722056
423,2407389
425,3203298
427,3163083
429,2980533
430,3058725
431,3313560
433,2555991
436,2628696
437,2860383
438,3325989
441,3160593
445,2354409
447,3250848
448,2868891
449,3013983
450,3235194
452,3199284
453,2476047
454,3285960
456,2803725
457,2784021
458,2969097
459,2937234
461,2307900
464,2145090
466,3034458
469,2884602
470,3076686
472,2955198
476,2809845
478,2990451
480,3107658
482,317349
483,3116583
484,2815881
487,2419008
488,2831550
502,1628934
506,291327
507,5270868
508,158346
509,3620001
510,150210
512,250443
513,1768752
514,433917
515,2361594
524,1221804
525,2675589
527,152319
529,1633179
530,66546
532,952674
533,530481
534,6009474
538,1087794
540,6447324
542,1554627
543,244665
544,602619
545,2765076
548,1311531
549,1184418
550,2449197
555,142908
557,1440249
560,1983
561,72786
562,125913
563,2113935
564,930330
566,20586
567,3127422
568,353541
569,6007407
570,155895
571,995823
572,10656
573,595041
574,783450
576,146595
578,6181323
581,3400293
582,1934496
584,878121
586,5628528
587,353733
588,1215144
594,164235
595,934062
597,2670693
598,1914120
600,333891
601,4518819
602,1080153
603,898755
606,153993
607,516132
608,1926282
609,1738767
610,2451621
611,2422434
614,233502
616,1166817
617,2801955
619,935691
621,777030
622,58311
623,1436682
625,4751538
626,1916967
627,38703
629,2319384
632,894615
634,142632
636,1870305
637,724743
638,2495190
640,1011351
641,784773
643,304281
645,5492088
649,2282307
650,925158
651,2615772
652,398436
653,657741
657,910932
658,9813
659,1432569
664,1080027
665,2645238
666,163896
667,48390
668,848652
669,2755545
670,1260228
674,717
675,1545708
677,1920837
679,1315347
680,2793276
683,225768
684,1392027
685,2389488
687,2038962
688,1267092
690,1548996
692,1125237
694,2780421
696,6015102
698,60366
700,580461
701,1343373
704,2492835
705,2626446
706,1279302
708,1102998
709,2634216
710,4338771
711,1177797
713,2143665
714,368295
715,149898
716,480
717,1205340
719,2280177
720,2422143
721,886359
722,1670265
724,2379237
725,1268805
727,1043289
728,2141997
730,5679021
731,5174670
732,1201281
733,2679213
734,3845184
737,4610505
739,527583
740,2057955
741,917937
742,4668
743,203274
747,1179258
748,2204958
750,2714403
751,285090
752,1356729
754,2511558
756,1329420
759,1931163
761,1764180
762,138138
764,77790
766,2132559
767,3177375
768,1671612
771,106512
772,32883
773,140844
774,591597
775,802575
777,578082
778,1338576
780,1313802
781,1839498
784,1171887
786,2670066
787,1704045
788,1391280
789,1619202
790,357441
793,48462
794,129240
795,255
797,2929104
798,1680972
802,349593
803,43392
804,4982769
805,1119378
806,5904234
807,893658
811,1619415
814,1522269
815,145587
817,4425186
820,84249
821,3077601
822,380718
823,341322
824,1826700
825,1870524
826,327579
827,2061990
828,1047
829,239559
816,2119779
817,2530419
818,1368291
819,1975173
820,1211334
821,1926198
822,793212
823,1930290
824,1623204
825,1824690
826,1462212
827,1000029
828,1428045
829,1808034
830,973983
831,1311945
832,1471518
833,1069494
834,1559871
835,1533687
836,983088
837,1966668
838,1319361
839,1081857
840,950085
843,954453
845,1673658
848,2358021
849,1324929
850,1357455
852,1086648
853,913101
855,1528545
856,1923396
859,1518150
861,2450703
863,1722324
864,1109388
865,1205895
869,1919478
870,1472295
871,880977
873,507108
874,1002003
875,1469691
877,1475154
880,2625801
882,1798302
883,1769841
884,2329038
885,2182941
888,1658532
890,1489716
892,976632
894,1370826
895,2298921
896,1476207
898,1063317
899,1352283
900,1228023
902,1571055
903,1986831
904,1400811
905,1022028
906,1051089
908,1740054
910,2611686
912,1696656
917,2745456
918,2043003
920,1966962
921,1226718
922,1442151
925,1114851
928,4587
929,2256069
930,1329405
931,1681338
932,916257
933,2739930
934,1450614
937,590223
938,1214754
939,1328214
940,891798
942,2685996
943,2389353
944,1393452
945,894483
946,1485342
947,846060
951,1095162
955,1150323
958,2553255
960,1396314
961,1302864
962,1678887
963,861084
964,1104714
965,1398012
968,1357872
970,1158834
971,1887282
975,2103354
976,1496493
977,1037667
978,1041414
982,966999
983,2238735
986,1298769
987,2694207
988,1726839
989,1152057
993,887469
995,1104618
997,1439931
999,1373007
1000,1393923
1001,934626
1002,1479267
1004,1380927
1005,2001270
1006,1442802
1007,1296717
1009,642387
1012,946818
1016,2172117
1017,1393923
1020,858417
1021,1248153
1023,1031970
1024,1259004
1025,1458957
1026,1414398
1029,1674564
1030,1479138
1032,2352246
1034,860484
1041,1007253
1042,1402887
1045,2642088
1047,2363250
1049,1898238
1050,1378053
1051,912855
1053,590325
1055,2146335
1057,673182
1058,1368477
1061,1563330
1063,1287525
1065,2569824
1066,2240253
1070,2310714
1071,2380302
1072,1329450
1074,1041201
1078,1093779
1079,1180059
1081,931359
1082,1395870
1083,1277907
1084,1220319
1088,2452719
1090,1591332
1091,2702319
1092,57
1094,1437723
1095,979164
1096,1467456
1097,2179167
1099,1716402
1100,1026054
1101,2127072
1102,1599594
1103,1142988
1104,1578597
1106,1002954
1109,1450023
1111,2409489
1112,1035498
1113,1321380
1114,580026
1118,1009734
1119,1188459
1120,2259027
1121,1602336
1122,938232
1123,958665
1125,1342056
1126,1807773
1127,1364961
1128,1219908
1132,2582853
1133,1347333
1135,2146746
1136,874485
1137,1712751
1139,1509828
1140,1185465
1141,953598
1144,980586
1145,1310727
1148,42015
1151,2643996
1152,1010835
1155,1249875
1156,1459344
1158,1667880
1159,887823
1160,909471
1161,1003923
1171,2646153
1172,2503527
1174,2976867
1175,3711567
1176,3538845
1178,3707172
1179,3615924
1180,4490106
1181,3865050
1184,4309692
1185,4177233
1186,804
1187,1540035
1190,4434570
1193,3178698
1197,3356523
1200,3322752
1201,3755964
1203,3611343
1204,4185945
1206,3822357
1207,71988
1208,4241550
1209,3787416
1210,3390681
1211,4151103
1213,3243966
1214,3734793
1221,3374910
1222,3266232
1225,2480676
1227,3975195
