Date,Value
141,82689
144,34593
149,28047
150,23154
152,25422
155,21324
161,31971
163,40704
164,32430
165,19935
166,37278
167,22101
168,23484
169,21126
170,19215
174,24528
176,30309
177,54324
178,47670
179,21516
180,8019
193,18606
196,43437
197,30678
198,28686
200,22587
201,21621
202,32289
206,54735
207,31332
208,21480
211,12126
212,37893
213,35913
214,36513
216,53811
217,16521
218,45033
219,17856
220,40074
221,30606
222,30159
225,21162
227,25086
229,21249
231,26391
233,33288
234,53925
235,27357
236,21231
239,22485
240,22308
243,18204
246,36210
247,45666
248,22308
249,29364
250,28593
248,4749
249,17790
251,16551
252,10626
253,21027
254,12219
255,19593
256,56751
257,9564
259,14040
263,44754
264,11346
268,18099
269,22023
270,13353
271,63651
272,23133
273,16389
276,31884
277,34443
279,31212
281,23859
284,14550
285,17142
286,36921
287,20391
288,14091
289,17619
290,39840
294,18417
296,12915
297,25995
298,22449
299,16617
300,12609
301,11061
302,27882
330,818058
331,1136199
332,1508652
333,1116669
334,809400
335,1258902
336,598386
337,823239
338,475173
339,803568
340,359400
341,1404396
344,1076664
346,520617
347,617826
348,497004
355,809604
356,526539
362,454083
363,1022979
365,1523910
366,1152864
367,782187
368,1055229
370,178617
371,259590
372,790515
377,839103
378,1053981
379,838572
381,1318071
383,1008876
385,542649
388,1038942
390,1169607
395,328857
396,456531
397,759843
399,72255
400,990762
401,961611
402,1169925
403,582993
404,251814
407,742008
408,626679
411,1186182
414,1561752
415,837726
418,880362
419,558675
423,11157
424,1162806
425,468441
427,266604
428,233946
429,1294188
430,1455357
432,603156
433,1028829
436,886359
437,206115
438,549177
439,590697
440,480840
442,1503969
443,1545297
444,1292448
446,752436
448,992124
453,796137
454,403320
455,838194
456,451185
457,825678
460,479841
461,530172
462,518265
465,453618
466,827796
467,494247
469,1495521
471,842736
474,447210
475,728733
476,439578
478,528270
480,1202724
483,396420
487,807630
488,526860
493,1215183
494,830691
495,1138236
497,836202
499,423159
500,640599
502,465543
504,1037259
505,829230
506,1124385
507,282138
508,830919
510,835980
511,656751
513,575043
514,837849
520,1197945
521,926730
523,255315
524,820872
527,746361
528,561819
529,980382
532,818613
533,588198
536,979716
537,889533
541,1294944
544,625227
546,346347
547,1246512
548,629712
549,1161051
551,223254
554,1569609
557,342816
559,394923
561,256332
563,568215
564,849174
566,925944
567,1277709
568,827895
569,1278324
570,1158576
573,821049
575,1573845
580,879942
581,530550
582,614925
583,937863
584,515814
587,331449
588,793746
589,1191543
590,567852
591,929073
594,508407
595,1119237
597,833262
598,1580841
599,777876
601,882408
604,1571091
606,996933
607,1054257
609,186480
611,633057
612,842001
613,536181
614,787674
616,434565
618,884235
622,215052
623,396960
624,597819
625,582063
626,772329
627,613392
628,613254
631,1271193
634,361887
635,820500
636,1587819
637,674001
638,358680
639,897966
640,491976
644,946311
645,1122666
647,887505
649,496950
651,448662
652,411009
653,405690
659,293928
660,821619
661,1455591
662,589254
663,485331
666,754947
667,621180
661,250488
662,349401
664,256938
666,282690
667,263664
668,256068
674,79215
675,385185
677,259158
678,256299
680,384528
684,226845
685,118884
688,274515
689,128034
693,370734
694,337347
696,267072
697,311235
698,386964
699,262629
700,244920
703,240909
704,311289
705,264300
706,236712
709,317748
711,396009
713,272553
717,262986
718,3
720,311991
721,108381
722,213171
723,215274
724,231885
726,266349
727,142338
728,338100
733,272142
735,346884
736,238071
738,251694
739,216867
740,387969
741,245517
743,249954
745,256065
746,319635
747,238767
749,180366
750,266067
752,348228
753,379023
756,180834
757,395352
758,274800
761,317496
762,326091
769,246267
770,152145
772,290847
773,268173
774,398541
776,241716
777,197460
778,343647
780,299379
781,186753
783,137763
785,385194
787,251298
788,307677
789,265134
790,254439
791,197889
792,181602
799,229944
801,348792
802,152319
803,142002
804,245433
806,282045
811,215325
812,260652
813,252036
814,254784
816,259653
817,242874
818,193137
819,160191
820,178716
824,256152
825,147816
833,260481
834,278289
835,299883
836,348492
837,178119
838,214431
839,224193
865,4543446
866,2783076
873,3759882
906,4348188
912,4022604
928,3986466
930,1049088
948,2235000
952,3199803
957,2462367
964,3072672
972,3210003
980,3306237
987,4278063
988,2937408
1003,2917119
1022,3109683
1031,2604921
1037,24
1048,2485986
1052,2807859
1069,1954914
1073,4522191
1088,5481378
1091,2074290
1101,3031443
1106,2978904
1121,2941851
1154,2948346
1155,2576871
1158,3086406
1178,3061920
1179,3233610
1181,51
1188,3897639
1189,3216696
1177,1466007
1182,1203489
1183,1700409
1185,24
1186,1881813
1187,24
1188,1599024
1190,1671798
1192,1327341
1194,1674879
1196,1503099
1197,1686564
1198,1627233
1202,1646361
1203,1416993
1204,1160184
1205,1645533
1206,1701942
1207,1662045
1208,24
1209,1535328
1213,1665861
1216,1690017
1218,1582305
1223,1687194
1225,1735428
1227,1454409
1230,1611171
1231,1607406
1232,1421316
1234,1642149
1236,1696041
1241,1629921
1243,1445967
1245,1558872
1246,1663158
1254,1566021
1258,1648185
1261,1714665
1263,1691373
1265,24
1270,1730481
1256,34527
1257,23259
1260,42159
1261,42933
1262,40044
1267,43581
1268,42750
1269,47334
1272,45939
1275,45750
1276,51684
1277,33897
1279,39567
1280,47241
1281,58650
1282,48588
1283,53868
1285,43647
1286,38307
1287,45870
1288,43983
1289,69885
1290,44985
1292,39159
1293,49710
1297,46200
1298,42876
1299,37962
1300,47187
1301,43044
1302,41841
1304,35394
1305,48222
1310,52272
1312,12
1313,50964
1338,2186091
1342,1776318
1345,1655187
1348,3689448
1352,2073885
1355,2967807
1364,3006150
1368,3020808
1369,3654474
1370,2059017
1372,1746372
1375,1901847
1379,2064015
1384,3336537
1386,3221457
1388,24
1389,1488441
1393,2925108
1394,2507250
1401,2896569
1403,2293494
1404,1466145
1413,1625295
1416,1094151
1418,1708455
1420,1997226
1423,2954793
1426,3663675
1431,2693670
1436,2047008
1441,1865760
1450,1800369
1451,2088903
1452,2137752
1454,1403304
1464,1052409
1466,2241354
1467,2988849
1468,2982852
1470,2503779
1475,5655
1481,1336005
1487,965769
1490,2137317
1493,1853985
1494,2054877
1497,1925958
1500,1353036
1505,2150415
1508,1527204
1509,2084022
1512,1413198
1514,2825067
1517,2618640
1518,3264369
1522,2028438
1526,3813489
1527,2936484
1535,2026926
1538,5631
1540,1430457
1547,1738113
1551,2799537
1552,2828949
1553,1256826
1558,1968837
1559,1918329
1564,2910588
1565,1632984
1566,2628513
1568,2846082
1576,1849308
1577,810177
1579,4285497
1597,2521599
1598,2058645
1604,2085390
1605,1317066
