Date,Value
134,34833
135,15897
136,15909
137,12825
138,39564
139,23583
141,16188
142,15012
144,5772
146,18894
148,14832
149,29592
150,13692
151,15144
155,32685
157,35694
158,11823
159,16815
160,14025
165,9159
166,17901
168,15309
169,6306
170,23991
172,15036
175,23349
176,11493
177,11043
178,17694
181,13212
182,20625
186,29835
187,13869
195,13710
198,13074
199,14733
201,13539
202,14361
205,12030
208,9969
209,12765
210,12945
211,14097
212,8145
213,12441
215,13440
218,8862
219,18621
221,11928
222,16443
227,540096
229,11280
230,8976
231,11949
235,14241
237,14268
271,826290
272,722208
274,801933
275,625401
277,789309
279,997986
282,1167675
285,939807
288,653760
290,829188
291,704553
292,1517502
293,1209237
295,1255188
297,1350021
298,1113063
299,781365
300,1196076
302,981981
304,270912
305,1278267
307,797256
308,1083369
309,1023027
310,953625
313,744576
314,899358
315,1285038
317,1562274
318,1447005
319,774591
323,800412
324,1076748
327,1027119
329,1357419
330,741885
331,1014681
332,805947
333,679338
334,849174
335,722844
336,477120
338,770238
339,1364760
340,822954
341,942042
343,789456
346,1290306
349,1491111
351,659679
352,781500
355,949785
356,1649985
358,1114293
361,919179
362,1356561
364,1045014
365,1669155
366,599325
368,356271
370,1004622
373,1566093
374,1196313
375,700839
377,944700
378,637146
379,645339
380,787215
381,791115
382,1208526
386,676299
387,1035753
389,1632666
390,929634
391,1105242
392,682437
393,585423
395,1050270
397,697272
398,715566
399,952857
401,1001574
403,743343
405,619734
407,1059471
408,578655
411,1307460
412,951279
413,935538
415,437205
416,486108
417,1271511
422,581976
425,709860
426,620784
427,945777
428,1471101
429,1373568
432,1000323
433,1219080
436,971415
437,883971
439,607218
440,491862
441,1123962
444,1151067
445,811620
447,722664
448,788037
451,959520
452,612990
453,754167
454,1406394
455,1013850
456,914883
459,504744
461,1053510
464,966642
467,1052184
468,986763
469,656076
470,775443
471,778080
472,846990
479,999975
481,541020
482,966561
483,1288659
487,1461438
488,817569
491,1019751
492,1485645
493,967821
495,1526787
496,817833
498,1169445
500,379716
503,637041
504,886326
505,555366
506,1008636
509,1107174
510,1460634
511,980319
512,764691
515,1548213
516,505593
518,1366095
522,779775
523,577530
524,717585
526,756921
527,966177
529,1616682
530,735894
532,1189026
533,773826
534,377880
535,576546
536,858636
538,1288905
540,544245
541,761493
544,1084962
547,892527
548,1315797
549,1285740
550,598065
553,1169835
554,1269915
555,990108
556,1021686
558,687783
559,1075608
560,852351
561,315633
562,630873
563,638442
564,830019
566,647619
569,458421
570,1664109
572,852513
574,1394478
575,773187
576,969576
577,522054
578,1029147
580,1238487
582,879879
583,341937
584,1115379
585,1359732
586,901029
590,1446459
591,932844
592,689370
593,961194
594,673446
598,855246
599,3321
600,599991
603,1503129
604,661590
606,607911
609,987570
611,444129
612,856965
613,861651
614,881058
615,646317
603,118881
605,90345
606,102231
608,96627
610,100980
611,94995
612,112326
614,97182
615,93507
617,102630
618,87219
621,102390
622,537
624,100248
626,99240
627,1617
628,119055
629,113568
630,97545
631,74775
632,99135
633,108366
634,88014
635,101520
636,86097
638,972
640,103554
642,117459
643,106242
645,102258
646,93099
647,97095
649,101694
651,104577
653,84345
659,105567
661,104052
649,2442
650,8313
651,10104
652,2250
653,14175
654,8427
655,16758
656,4062
657,3381
658,2487
659,8691
660,12828
661,4641
662,3678
663,16887
664,9036
665,2427
666,7785
667,18057
668,16026
669,23220
670,9327
671,20175
672,14682
673,1869
674,2469
675,2145
676,12267
677,18780
678,12063
679,2217
680,8532
681,15084
682,4380
683,4992
684,22686
685,9630
686,2316
687,13248
688,11772
689,8106
690,27189
691,13665
692,2337
693,15147
694,3681
695,4917
696,10986
697,3564
698,7938
699,16482
700,19932
701,8817
702,29892
703,8649
705,8361
706,17505
728,357642
729,279675
731,351771
732,328836
733,420996
734,594495
735,332097
738,627651
739,329319
743,322842
744,346305
747,253110
748,468408
753,359619
754,513462
756,220890
758,391212
759,377682
761,346899
762,333855
763,282789
765,526071
766,205335
767,634479
768,234654
769,442749
771,515928
772,384330
774,458790
775,443019
778,447966
779,438870
780,255948
781,375714
784,282369
789,586053
791,286446
793,449337
794,318648
797,540048
798,280296
799,201066
803,464715
804,334182
805,286920
806,473571
807,431217
808,588615
809,332871
815,335970
816,351366
817,565776
818,553947
819,180
821,338067
822,489831
823,390162
826,152487
827,221721
828,352650
831,379332
836,276858
837,364104
838,372360
839,416325
840,500643
841,229332
843,534045
845,419928
846,585858
848,266352
849,333210
850,290619
852,363060
853,295122
854,116667
858,226359
861,383253
862,366945
864,347925
868,456807
869,528531
871,390327
873,499551
875,375219
876,228030
877,179919
881,341931
885,173079
886,409752
887,373071
888,340815
889,447117
891,432201
894,336066
896,180066
898,394206
900,263157
901,516729
902,316677
926,2576901
927,1732257
928,3826467
931,2664693
932,2999382
933,3494376
934,2059332
935,2857485
913,230385
914,246075
915,187632
916,184476
917,274032
918,259563
919,283845
920,260928
921,252099
923,276870
925,272469
926,249900
929,279555
930,202131
931,225516
932,260187
933,195900
935,260271
938,139743
940,266553
942,257841
943,262737
944,57972
945,273285
946,227850
948,233676
950,258990
951,257079
956,195327
958,21024
959,279399
960,241731
961,250530
962,276999
965,223107
967,251499
968,259026
959,4431
960,1104
961,29811
962,33369
963,21183
964,38766
966,3555
968,31599
969,35295
970,39789
971,38382
972,37053
973,45489
974,46467
975,4185
976,36207
978,37167
979,1137
982,40068
985,40125
986,28542
987,23175
988,22008
989,28296
990,29028
991,24873
992,29883
993,29637
994,24720
996,29622
997,1065
999,1380
1001,36105
1002,4539
1003,678
1004,26439
1005,39657
1006,43257
1007,1317
1008,24777
1010,45450
1011,47550
1012,1080
1013,33396
1015,36726
1016,43119
1040,1004664
1041,1966701
1044,1318002
1045,1437261
1048,1780209
1050,1614861
1054,1041312
1055,1776684
1056,1881111
1057,1964343
1058,1739676
1060,1684212
1061,1804521
1062,1786500
1065,1128609
1066,1840017
1067,1933350
1068,1729185
1069,1578597
1072,1826610
1073,1596126
1074,1913598
1077,1774911
1080,1970865
1081,1522221
1082,1723491
1083,1555194
1084,1484412
1085,1634286
1086,1358010
