Date,Value
157,26415
158,27441
160,26241
161,26469
162,25167
164,24978
165,27303
169,29307
171,26763
172,22530
175,27204
176,21621
178,25431
179,22575
180,27204
181,27018
182,26865
187,24525
189,25035
190,24786
189,27726
190,11748
194,26289
195,37062
196,26325
198,25512
199,32694
201,17082
202,37389
204,25065
205,25260
206,27486
208,25848
209,32529
210,22377
212,30048
213,30288
214,26592
216,26256
218,28479
219,33267
220,34605
221,29241
222,34083
223,26136
231,25452
235,33450
236,28194
237,25620
238,28413
240,32397
241,24624
242,26016
261,49479
262,40272
263,50628
264,51195
266,48246
267,54099
271,45243
272,43740
273,31176
275,54429
276,45933
277,50271
278,21060
282,54744
283,53781
284,49080
286,55932
287,43911
288,46533
290,56076
292,51726
296,51975
299,48528
301,52281
302,49419
303,50781
304,45411
305,40878
306,60015
310,54543
311,58413
312,50688
313,52317
314,41910
315,42756
316,45411
317,52278
355,4548348
356,5287338
357,4548348
359,4795827
361,5591298
362,6343932
367,4854015
368,4266654
369,6835335
370,4255389
372,4655859
373,6342225
374,6692166
377,6356796
380,2726001
385,6168915
387,6650691
388,5254230
390,6507621
391,6068106
392,6168915
394,5213883
396,4332285
398,6292917
399,5516952
400,7163025
401,7427238
404,6887313
408,6356796
409,5555388
411,4522212
413,6431037
414,2955126
415,6645333
416,6737781
418,3580134
420,7450155
423,6743733
425,6398442
427,4496652
429,6279834
431,7436586
433,6659199
435,4736217
437,5246400
438,5498502
439,6454713
441,4432005
442,4097271
443,3540231
444,5738736
445,6396429
446,6342225
447,5555388
451,5537904
453,7064085
455,5451516
457,5104845
458,3071850
459,6472938
460,6292917
462,5541477
464,5787939
466,6651528
467,7450155
469,4545789
470,6158061
471,5215626
473,3670608
474,4654656
476,5752329
477,5843886
478,6971700
480,2948307
481,6327921
482,5378532
483,6380433
486,5534706
487,6137037
488,6403263
492,6593223
494,5620587
496,6331554
497,6969147
501,4448976
502,4961319
503,6593223
504,4844058
505,5738736
506,5358201
507,5575593
508,3599673
511,7259148
512,6068631
516,6315738
517,5831451
518,5437518
520,7251813
521,6396429
523,4310997
524,6743733
528,2857590
529,4676286
530,3729237
533,3150156
534,5625753
536,4791120
537,6068106
539,7231188
541,6378369
544,3729237
545,5159211
549,7655838
550,5075277
551,4126626
552,5892066
553,4887723
554,7474317
556,3467223
559,6816282
562,6718299
563,6494634
564,5029125
568,5895825
570,4972776
571,7352823
573,6737781
575,6361194
576,7482333
579,2691717
580,4258539
582,6090675
584,6872634
585,7066134
587,5208387
589,5940855
593,5921652
594,5511918
595,6585786
596,5669979
597,5584560
599,5016585
600,5577801
601,5130264
605,5081688
607,3872025
608,6327921
609,3064785
610,6512310
611,2637459
612,6158556
614,4042158
615,6169416
616,4914141
617,6799971
618,7473252
619,6825972
620,3807846
621,4097271
623,5789001
624,5716038
625,3623370
626,4992486
627,4255389
629,5620587
630,5439108
631,6816282
633,5747553
634,6390096
635,6331554
636,7043193
639,5130264
640,6280701
642,5779461
643,4352940
644,6673494
645,6074616
646,2765196
647,5541477
650,6323982
652,4636986
653,4928187
655,4654758
656,5342115
660,2244267
661,6158061
664,6472938
665,3691755
666,3071850
667,5016585
668,4989834
669,4332285
670,5527239
671,5221644
672,7083801
675,3281316
678,4925295
679,6285264
680,6361194
681,6798267
682,4654758
684,4258539
685,5352456
689,6072414
690,5464227
692,5299557
694,4936398
695,6439458
699,5011086
702,5464029
703,6594450
704,6769980
707,7083801
708,5738460
709,5830353
711,5520939
712,6566727
713,5752329
714,4683663
716,5413617
717,7022259
719,5391309
720,16548
721,7242528
723,4954089
726,2842479
727,4122720
728,3872025
729,4954881
730,6164739
732,5584560
734,3791412
735,6252123
736,5932467
737,5761290
738,5232006
728,1836279
729,2470566
730,1806837
732,2353014
734,2231268
736,2093673
740,2219943
742,1974150
743,2453856
745,2115321
746,2208840
748,2032932
749,2043870
750,1778217
753,1857717
754,2068734
756,1818351
757,2410395
758,1985172
759,2442294
760,2042313
763,2178702
765,2189442
768,2280813
769,2075448
770,2202498
771,2340840
772,1905483
773,2385954
774,1771542
776,2001558
777,2320677
782,2001789
783,2028171
784,2296743
785,2277189
787,2106630
789,1879347
790,1831638
791,1898508
793,2348541
794,2056026
797,2081163
799,2099241
801,2278872
803,2146176
805,2242539
806,1700142
807,2277525
810,2407113
811,2334558
815,2026401
819,1947687
820,60681
822,2048478
823,2176902
811,374874
814,283854
815,385746
817,386283
820,387981
821,386856
822,365979
823,381633
824,287262
825,211095
827,284868
831,377898
833,385395
835,388734
837,205875
838,351165
839,383682
840,293379
841,384750
842,351912
843,390024
846,294894
847,367305
849,174168
850,366678
854,341562
855,358059
856,278466
858,377931
859,375804
860,350235
861,379026
864,284901
865,297147
877,1392960
878,1948923
879,1419930
880,744924
881,1924782
882,882087
883,922449
884,1254459
885,813813
886,1369608
887,1050783
889,1683420
891,1148217
892,975927
893,1937766
896,920886
897,1769583
900,1027392
903,1564008
906,1981503
907,1446987
908,1094070
909,432594
910,1639011
912,939663
913,1142922
916,900471
917,1636098
918,1389162
920,1716075
923,1932513
924,2116101
926,1353366
929,1528038
930,1048752
931,1725999
933,1588509
935,1517724
938,1364163
939,923571
940,1740261
942,1050651
943,1622151
944,1516869
945,1101288
947,810885
948,1254069
951,1118883
952,1114578
953,2034957
955,1070100
956,1569366
961,880500
962,1648119
964,1671927
966,1070022
967,2269461
968,1437417
970,908202
972,1168602
973,1399404
975,1983681
976,1649907
977,2019759
978,1463043
979,1451592
981,1248390
983,3249
984,1228473
986,1135887
988,868710
989,1985229
990,2106309
991,1361490
992,1004685
993,1412616
995,1456365
998,1853712
1000,927126
1001,757110
1003,1389777
1004,1046184
1006,903255
1007,1425324
1009,1627494
1011,1159164
1012,1042470
1013,1402458
1014,823803
