Date,Value
144,27432
145,49032
146,35541
147,31152
151,27831
152,43875
153,19683
154,76869
155,27645
158,31827
159,33402
161,11070
162,75966
163,45618
164,39141
165,43524
167,55785
168,27801
170,44271
171,26343
172,45228
173,114285
174,36456
175,32532
176,35682
177,44316
178,81090
180,98565
181,51864
184,63303
185,26499
186,15777
187,51516
188,34812
189,19620
192,55671
193,25452
196,48513
197,21933
199,30522
203,24609
206,37986
207,22728
209,18915
210,40785
213,26367
215,29535
220,24357
223,19719
224,21870
225,24699
226,29136
228,23811
230,6669
232,30570
234,41223
236,23766
237,43245
251,68457
252,77229
253,95841
254,84147
255,61554
256,74628
257,98499
258,89436
261,90318
262,106434
264,59823
265,59256
266,39924
268,100338
269,102243
270,79638
272,73194
273,45180
274,77364
278,56763
279,68463
280,38937
281,66330
282,47904
287,57960
288,60636
289,95664
290,73830
291,50967
292,60963
293,72180
297,81747
300,110901
303,57171
306,39678
307,61854
384,5668437
386,5125275
387,4910829
388,5402502
391,1469211
392,4864818
393,4837437
394,5311626
396,3298008
397,5596572
401,1945992
402,4398657
403,4779342
404,5597394
405,5605449
406,4565487
407,4990416
410,4224543
412,6527781
413,5946888
414,1658217
416,4318821
417,3271395
419,5347002
420,4999974
422,5659005
424,5899098
425,3290409
426,4590609
427,5646681
431,5713047
434,4400352
436,3677367
438,5233176
442,5588445
444,5534280
447,5618166
448,3438111
449,5688519
450,4578246
454,5553432
456,4391217
458,4598913
459,4967694
460,4459953
463,4253961
464,5049594
465,4044456
466,1596291
467,1574472
469,5632164
470,5797137
472,3022716
473,5168892
475,758064
476,5700297
477,5402754
479,5111922
481,5372640
482,4686783
489,5472285
490,3445173
491,5497218
492,4259373
493,1979967
494,5067297
495,5292699
497,5470539
499,5035308
500,5399808
501,1086702
502,2989965
503,4766331
505,5285349
506,4293075
509,5403561
510,117
511,1127208
512,4975437
514,3162093
515,4104720
516,5109786
517,3627597
518,1928223
520,5765760
521,4600338
522,5476068
523,5167545
524,5374080
525,4957758
526,4202784
529,3888954
530,4435485
533,4586178
534,3429759
535,5100792
536,6285951
537,5774622
538,2940234
539,5922159
542,4889571
543,3599316
544,5246106
545,4413438
546,5893896
548,5138373
551,3805476
553,1533882
554,5297742
555,4182615
556,4713456
558,3090741
562,5763309
563,5817936
564,1372506
565,5388468
567,4590276
568,5499795
569,4519281
571,1030140
572,6596469
574,4188408
575,5169774
576,2058849
577,3983427
580,5300988
553,995367
554,1055868
555,999141
556,1015698
559,781476
560,1075905
562,686952
563,1066989
564,1155909
568,1321788
569,892368
571,526200
572,1194804
579,573066
580,1006953
581,1085520
584,1002240
585,1028499
587,923586
588,980385
590,1140726
591,1174080
592,766338
593,1050555
594,1028499
596,1148154
597,997242
598,755727
600,1163526
605,583188
609,7284
610,1173897
612,439290
614,1019319
617,839436
620,1077495
622,1016931
623,1006551
624,982722
626,1367640
627,1063188
628,701907
629,888150
630,1112724
632,1206702
633,1084137
638,502791
640,1179639
646,1232442
647,1068291
649,872727
650,1055664
651,1195929
652,1069401
655,908715
656,973929
657,1052901
659,1076160
661,1050555
664,859143
665,986718
666,962829
669,980385
671,923586
674,734412
675,720708
676,1174434
677,995286
682,817872
683,775155
684,1106478
687,1064253
688,1102833
690,674661
692,823851
695,1001259
697,703353
698,1057794
699,1066221
704,873066
705,1118538
707,603345
708,879636
725,2716860
726,3781473
727,3494742
729,4523121
730,4019166
733,3985083
734,3492096
735,3012
738,2911314
739,3974322
740,4850061
741,3660009
744,3563280
745,3121194
751,3632211
755,3668109
757,3977052
758,4528977
759,3978891
760,4303794
761,4702203
762,4753677
763,471147
764,4340295
765,2913807
768,3736476
771,3877185
774,3831663
775,2985417
781,4040925
782,5295003
784,1682871
787,4268973
788,4194312
791,3821460
792,1813173
793,2622456
794,3517029
795,3436362
796,3141231
798,5053671
799,3909669
800,3032433
801,3583623
803,3927534
805,3025791
806,4666272
807,4163310
808,2632965
812,3910545
813,4700583
815,3228105
818,4590975
819,3322476
821,4172790
822,3514485
823,2493273
824,3698049
829,3907548
831,4506942
832,5046828
833,4885185
834,3762702
835,4557654
836,3718914
838,5324268
840,4273614
