Date,Value
134,23808
135,16674
138,20307
139,18078
140,22371
143,24948
146,2046
149,31413
150,26760
151,21618
152,25371
153,21525
156,20733
159,20607
163,23760
166,25386
168,24345
169,26538
171,26262
172,24072
173,20898
174,21114
175,2934
176,22755
177,22293
178,27315
179,24183
180,23718
181,28632
182,23808
183,30219
184,25044
187,24051
194,7827
195,8238
196,13899
197,13065
198,7800
199,15567
200,10005
202,18522
204,16242
205,22542
209,21567
210,9327
214,92163
218,10548
219,9690
220,17184
222,9741
225,10185
228,9669
229,10053
231,18861
232,10059
314,1857885
318,2673639
320,1204596
321,1688376
322,1642308
325,651183
328,1435032
329,1614036
332,2167086
333,2982885
337,1014585
338,3144555
340,1289325
343,2302062
347,1455807
349,98490
352,622614
354,1777605
356,887187
357,2305434
358,1371978
359,1547223
361,1786431
365,2179479
366,2983365
370,1439493
372,1076409
375,357069
376,18810
377,1680447
381,896874
382,2705817
383,530385
385,2165076
386,2067141
387,2384889
391,2016108
392,1141956
394,209955
396,1352067
397,2062281
400,1664238
404,2334315
405,2204445
407,44313
412,215214
413,2558958
414,1688145
415,136887
417,2023335
418,1550154
420,403179
421,354969
422,2056779
424,912042
427,1441347
429,1343730
432,244167
433,1782687
439,2726823
441,2743032
442,1239621
443,122982
445,1415508
447,2679435
448,2560269
449,1564227
451,2600391
455,747741
457,1371948
458,2187138
460,646866
461,2040384
464,2053413
465,1154007
466,2388357
467,1019586
471,1521378
472,224076
474,1584753
475,1708347
478,1406415
479,2738367
480,60459
481,1698738
482,1189683
483,2262435
484,1423263
485,1904409
488,1134645
490,2217204
491,3109368
493,2392581
495,324420
496,1201626
497,1160784
498,278634
501,1097106
503,1209060
504,2065389
506,1391331
508,1672926
509,1737444
511,2570316
512,1768992
515,399690
518,1933617
520,1482990
522,793269
524,870087
529,2247069
530,2758491
531,899484
532,2112087
535,2798121
536,1789554
537,2158857
540,1293849
541,2406147
542,1169874
547,635337
549,1692195
552,2082765
557,992511
558,1460553
560,548589
563,948825
564,1375065
566,2617137
568,1840350
569,2879976
572,466092
567,3842172
568,3571533
569,3169638
570,4040925
571,3567243
572,4117989
573,2724561
574,3700842
575,2283717
576,2528751
577,2272053
578,1797360
580,4435161
581,2799984
582,4086273
583,1979136
584,2155335
585,3140970
591,2010180
596,4789758
598,2616666
601,4014231
602,2381040
603,3913854
605,3503793
606,2708070
610,3445530
613,4069389
615,2646798
616,2009466
617,1690059
618,2186784
621,1887522
624,2021157
625,2891709
627,5117916
629,3000663
630,1879047
632,2674989
634,3317064
635,4063362
636,2635398
637,2189292
638,3694251
641,4000164
642,2879391
643,4307571
645,2144214
646,2921838
647,1751097
649,1598961
650,4013523
651,4093206
656,1661034
657,4181190
659,4861701
660,2259168
661,3769137
662,3293790
666,1979706
667,1951734
668,4207782
670,3112584
671,2804700
674,4146258
675,1845162
676,3010026
678,4124454
680,4337616
681,2268540
684,2695758
685,3160047
686,4107996
688,4215150
691,3565476
693,3919494
694,3546525
695,1618116
697,3588240
699,3365445
701,2154318
702,4109106
704,4121487
705,2115033
708,2411640
709,1522065
710,1570611
711,4028262
712,3702216
714,3515898
715,3453897
718,1666500
720,4548522
724,2953515
725,2610432
727,4101756
729,3123288
730,2265354
732,3171027
733,4106583
735,2495256
738,2389728
739,3998712
741,1719453
742,3921855
744,4286721
747,3676458
748,1691379
750,1910685
751,3695241
752,893766
754,3423813
756,2530566
758,3932484
762,1885212
763,3566325
766,2518902
767,3028887
768,4435449
770,2352648
771,5243892
773,2183790
775,3871086
777,1736592
778,1515960
779,1931286
780,3206358
781,2169192
783,2529288
784,2511900
785,3605739
786,4076883
787,3422214
788,1364694
789,3824196
790,3638484
791,2011347
792,3575310
794,4050927
796,2709399
797,1852764
798,2958843
799,3383349
801,2670216
802,2250249
803,2924430
804,3823071
805,1260708
806,2275509
807,3286560
808,4002744
812,3609858
814,3532320
816,3262377
818,4072512
822,2883684
825,2979909
828,1889385
829,3787941
830,2501172
832,1963074
833,3572370
834,1159347
837,4013694
840,2379405
841,3913494
842,3001341
843,3851079
844,1672368
845,2402028
846,2384436
850,3289806
852,3286314
853,3803178
854,1741209
856,1816584
857,4228659
858,3516753
860,2037435
862,3508326
863,3156897
865,3780012
866,2485602
867,2583015
868,1679325
870,4408113
872,4077474
876,3897126
879,1695
880,3842718
882,2775468
884,2135022
885,3421380
886,1995291
887,1108809
888,2827344
889,4047393
890,2400750
891,3466848
893,3684987
894,1980690
866,110712
867,113565
868,115860
869,143475
870,93567
871,125823
873,135816
874,124443
875,140856
876,111960
878,85797
879,117486
880,160524
881,125184
884,16749
885,135324
887,149433
890,116961
891,143460
893,155703
896,136623
897,153981
899,131940
900,121482
902,122880
904,139500
905,136878
907,101550
910,144624
912,127788
913,92661
914,154140
915,132525
917,147681
919,148938
920,160920
937,1175769
938,1402137
939,1367319
940,1446363
941,1015242
942,1119336
943,1518096
944,1115607
945,1216548
946,1261836
947,549000
948,933843
949,1168311
950,765228
951,756930
952,1208358
953,1486080
954,1302645
955,805548
956,1114836
957,1292154
958,965751
959,1022490
960,1057029
961,1181106
962,894234
963,1240122
964,990765
965,1629576
966,1030392
967,1056729
968,1137843
969,931410
970,1446990
971,554265
972,1186710
974,1068243
976,1291629
977,144
978,884076
979,1237701
988,1432098
989,900129
991,1589160
992,907299
993,1130724
994,1323996
997,1279689
999,1001679
1001,1125204
1002,900075
1003,1279251
1004,320190
1007,1342320
1009,801690
1012,875172
1013,1508043
1014,1005453
1016,1230627
1018,1165488
1019,1571073
1021,930171
1023,901596
1024,1015791
1026,848076
1027,1367538
1028,1098594
1030,1497180
1031,909426
1033,1425981
1034,869310
1036,1453017
1038,1652178
1039,1588305
1044,1176093
1046,885879
1047,511896
1048,1095651
1049,1552767
1051,6375
1052,1214589
1053,1158033
1056,1107891
1058,962322
1059,995034
1062,1461918
1065,1721145
1066,969576
1067,895620
1068,878505
1069,1419876
1072,1484700
1073,721572
1074,983937
1077,1258263
1078,928776
1079,1097517
1081,826341
1082,688998
1084,786234
1086,958353
1087,567051
1089,943809
1090,1044510
1091,1094973
1093,778089
1096,1491702
1097,943908
1098,1266318
1099,847239
1103,923331
1107,980970
1110,823473
1111,1433073
1113,1406559
1114,1308204
1117,1229952
1118,523458
1119,1161981
1120,995118
1121,1009323
1124,821742
1127,1073658
1128,1352409
1129,1066731
1130,1183209
1132,957477
1133,706854
1134,1246887
1138,1294038
1140,819993
1142,1118349
1143,1627740
1145,1186218
1147,675465
1148,1009581
1152,968289
1153,946911
1154,1292022
1158,1565961
1159,1693065
1163,1423473
1164,443346
1167,1098753
1169,786969
1173,1167444
1174,1150314
1175,1295550
1177,373494
1178,1129896
1179,1181982
1182,1689618
1186,1087140
1187,634113
1188,1627392
1189,682170
1192,751221
1194,1286037
1195,806760
1199,1137879
1201,716637
1202,909777
1203,1510728
1204,921129
1206,762315
1207,582405
1209,1042875
1211,1310766
1212,1363863
1214,300
1215,462531
1216,1023216
1218,1418322
1219,789384
1220,1402023
1221,663510
1222,1354050
1223,1359816
1224,1141431
1227,1017597
1230,967929
1232,516612
1233,1161732
1236,1543422
1238,1042032
1239,1186425
1240,602733
1241,821763
1242,1314525
1243,1267161
1244,631692
1247,1391757
1248,904833
1250,425937
1252,936321
1253,979053
1256,144123
1257,1658142
1259,1246623
1260,617268
1262,888528
1264,909927
1266,926961
1267,1077855
1268,1198275
1271,730713
1273,1112568
1275,1008957
1277,982845
1278,794565
1288,2267292
1289,1954896
1290,2646954
1291,1694640
1292,2598318
1293,2678319
1294,2558988
1295,1782813
1296,1917879
1297,1805601
1298,1738062
1299,1548369
1300,2781669
1301,1899951
1302,1699314
1303,2507208
1304,2356125
1305,1662468
1306,2260938
1307,1808652
1308,1967772
1309,2186073
1310,2384751
1311,1986045
1314,1978677
1315,2264421
1316,1189938
1317,1785450
1318,1670049
1319,1581597
1323,2085480
1325,4488
1326,2652135
1327,2144394
1334,2128560
1337,3153237
1338,1773285
1339,2706369
1340,1980780
1341,1836678
1344,2638551
1345,2348181
1346,2222952
1347,1849422
1348,2460918
1349,2247762
1351,274545
1354,2726325
1357,2106483
1359,1356483
1363,2216751
1367,1825968
1369,2330748
1370,1110327
1371,1676748
1373,1402134
1374,2013282
1377,2747412
1378,1262724
1379,2639133
1381,1650552
1382,2072658
1383,1764552
1384,1783026
1387,2244312
1388,1691169
1390,1705956
1394,1621440
1396,2718621
1397,2218209
1399,2729166
1401,2232429
1403,1628958
1404,2161152
1405,2692368
1406,2071521
1407,2616378
1408,2584635
1411,1531860
1412,2007198
1413,2913453
1415,1992684
1417,2474490
1419,2348487
1421,1182663
1422,1921854
1423,1985304
1424,2201994
1425,1873950
1426,2036649
1429,2021157
1430,1932045
1432,1684488
1435,2762457
1437,2861367
1439,2147328
1440,1242
1443,2892552
1444,1530984
1446,2137752
1447,2620140
1449,2015973
1450,2634837
1452,1836558
1453,2119872
1454,1885044
1455,1125219
1457,2409981
1458,2979174
1461,1688808
1463,1994379
1464,2248020
1467,1434903
1468,2007708
1470,2497374
1471,1681986
1472,1962228
1473,2210850
1475,2182203
1477,2613831
1478,2151483
1480,2266602
1481,2363139
1482,2772978
1483,2584050
1486,1967874
1487,1903347
1492,2928738
1493,2169975
1495,2011725
1498,4119
1500,2065911
1501,3001245
1502,2217609
1503,2896752
1504,2560962
1505,2320629
1510,1847175
1511,2105499
1513,1778514
1514,2878101
1515,1861263
1516,1625319
1517,1499949
1519,2739975
1521,2777451
1522,2622141
1523,1965537
1525,2113527
1526,1920261
