Date,Value
216,254310
218,177942
219,230367
220,146568
221,326409
223,175668
224,175416
225,152190
226,260118
227,230178
228,158064
229,148923
236,137586
237,129525
238,229023
239,114900
240,256362
241,233004
247,154629
250,252240
252,129102
253,308103
254,128838
255,151092
257,138624
258,247536
259,325053
261,137844
262,318687
263,217464
265,271830
267,197202
268,97617
269,250716
270,319314
273,197913
276,263223
278,197778
279,321387
280,240156
281,114999
282,118800
284,248622
286,141276
289,248058
290,114189
291,258594
295,172764
297,11265
298,105096
299,268563
300,274968
301,202173
307,391074
308,408924
309,38580
310,53934
311,194766
312,629325
313,533499
314,528633
315,437082
316,32991
317,545832
318,834759
319,43356
320,185967
321,381450
322,58461
323,416868
324,464535
325,50814
326,562998
327,551559
328,48795
329,38796
330,425646
331,48120
332,651561
333,38187
334,564303
335,59943
336,316815
337,494367
338,55167
339,762069
340,696483
341,42885
342,59580
343,776571
344,455952
345,471318
346,316251
347,296526
348,375531
349,50289
350,347916
351,45333
352,404511
353,546003
354,845235
355,52809
356,530097
357,186000
358,186045
359,33909
360,838539
361,715533
362,791430
363,613404
364,435072
365,613989
366,534627
367,728001
368,546384
369,788922
370,49023
371,408312
372,32553
373,535509
374,62520
375,546483
376,63063
377,40398
378,43062
379,388326
380,39198
381,323742
382,38364
383,52143
384,343716
385,580467
386,51423
387,612192
388,518760
389,546204
390,51765
391,714465
392,355902
393,54000
394,303495
395,62703
396,751185
397,43608
398,781092
399,131322
400,414456
401,952005
402,123972
403,342618
404,353220
405,43392
406,686550
407,453045
408,52596
409,564450
410,66372
411,409974
412,489090
413,311619
414,518760
415,510339
416,352287
417,528270
418,75879
419,238572
420,53364
421,45789
422,590889
423,43095
424,572586
425,25812
426,54852
427,521850
428,516261
429,62973
430,397581
431,471555
432,411237
433,614649
434,349167
435,488736
436,215064
437,69618
438,66954
439,40098
440,815163
441,307827
442,50442
443,505629
444,431052
445,643284
446,53466
447,533277
448,52287
449,41766
450,506046
451,486750
452,349794
453,274731
454,33672
455,248358
456,516513
457,37701
458,56349
459,400476
460,456075
461,33129
462,42357
463,291993
464,260313
465,279708
466,710712
467,67062
468,266157
469,73827
470,39291
471,291204
472,1044279
473,307482
474,71388
475,67389
476,392967
477,427737
478,68769
479,42321
480,45945
481,361179
482,695970
483,52152
484,33162
485,440034
486,88671
487,59307
488,641766
489,573327
490,52548
491,632856
492,70530
493,603171
494,368616
495,57270
496,28245
497,471282
498,69033
499,377712
500,230244
501,76092
502,271320
503,523581
505,63231
506,70050
507,390309
508,419178
509,337602
510,36330
511,140733
512,37956
513,69366
514,35652
515,611190
516,55770
517,592650
518,63525
519,54204
520,619812
521,86532
522,292224
523,411684
524,517674
525,59271
526,283911
527,220227
528,36027
529,657645
539,1305183
540,151416
541,221244
542,129603
543,1881738
544,1151532
545,150087
546,465354
547,1557693
548,162096
549,324066
550,297138
551,1011189
552,108819
553,2782638
554,98760
555,1431891
556,200205
557,244218
558,180045
559,102522
560,81348
561,130011
562,2199993
563,83214
564,772605
565,1687479
566,1552470
567,142254
568,175863
569,1519797
570,1839123
571,155667
572,3773796
573,158601
574,134331
575,1063713
576,782679
577,1539789
578,505647
579,2008134
580,164643
581,186051
582,1568220
583,668496
584,622740
585,1584993
586,1886802
587,1989078
588,104121
589,1341315
590,87081
591,140562
592,1400598
593,1554876
594,141567
595,1453083
596,761913
597,858438
598,121932
599,1629105
600,2028618
601,2940573
602,1457163
603,508959
604,2127621
605,107367
606,165330
607,60681
608,191430
609,168162
610,999498
611,520641
612,1171470
613,151395
614,831264
615,147705
616,3157968
617,1231917
618,1792374
619,1379013
620,1116978
621,1118316
622,1588137
623,739974
624,1441983
625,59853
626,1198407
627,1881411
628,121356
629,124494
630,1325907
631,2162091
632,756327
633,2080827
634,2519961
635,3374112
636,74763
637,3186801
638,162300
639,1834662
640,1081137
641,192363
642,143127
643,176925
644,3680529
645,1615167
646,166413
647,3044187
648,853458
649,196050
650,182820
651,1916868
652,1357218
653,93279
654,1339569
655,1390560
656,175077
657,162945
658,121485
659,832257
660,94704
661,108666
662,2290119
663,99522
664,1883091
665,2710797
666,693456
667,1343742
668,1670325
669,871713
670,2110383
671,1150713
672,116568
673,1201431
674,3120624
675,441135
676,149373
677,1738263
678,2019165
679,1405617
680,1655466
681,186720
682,1640001
683,1037703
684,2918496
685,99834
686,705816
687,624873
688,154764
689,101253
690,2374059
691,877947
692,1119108
693,111789
694,135954
695,138861
696,117246
697,1609170
698,879564
699,1384827
700,556422
701,85956
702,1186308
703,765507
704,763149
705,879201
706,2598615
707,1110510
708,1792986
709,797745
710,3831822
711,70707
712,170487
713,2403798
714,973116
715,633576
716,2070774
717,144849
718,1662891
719,2135952
720,437409
721,145059
722,421221
723,815511
724,3529029
725,66903
726,800316
727,198258
728,2249529
729,1537149
730,127311
731,2756184
732,937221
733,2391072
734,1611249
735,2775774
736,1408581
737,134091
738,2669169
739,1307850
740,85509
741,611436
742,157911
743,115272
744,123900
745,716757
746,846468
747,983154
748,595395
749,1220097
750,140202
751,899541
752,1073163
753,172926
754,1866024
755,2756778
756,866148
757,553704
758,1429653
759,2956974
760,1453107
761,651927
762,2366745
763,802416
764,1101162
765,135222
766,1943007
767,163272
768,102087
769,90933
770,1304094
771,891741
772,2381349
773,156519
774,122934
775,2109804
776,158493
777,54975
778,751281
779,1845510
780,80904
781,156288
782,929136
783,1225758
784,92139
785,1731138
786,1182744
787,64773
788,96642
789,2028831
790,2555472
791,135663
792,186333
793,1928550
794,1090638
795,2821173
