Date,Value
219,681345
220,688344
221,1256058
222,1232235
223,575652
224,941469
225,1035108
226,1249725
227,1035135
228,667482
229,246009
230,853872
231,1266072
232,794952
233,833820
234,573174
235,622590
236,702174
237,442881
238,383946
239,310908
240,880842
241,795759
242,695616
243,619659
244,1021467
245,862230
246,1034496
247,698442
248,982947
249,1100820
250,634278
251,560601
252,562659
253,1019901
254,1019709
255,624897
256,716202
257,989040
258,681636
259,876831
260,197103
261,635163
262,806256
263,448320
264,888336
265,691149
266,901209
267,876606
268,942147
269,971934
270,870180
271,893145
272,851151
273,1009401
274,827373
275,670893
276,938343
277,895821
278,413163
279,1067874
280,503271
281,1039692
282,730869
283,953463
284,736947
285,693264
286,854292
287,881943
288,938832
289,707265
290,1083213
291,690141
292,1099362
293,728862
294,338820
295,1030950
296,759585
297,838794
298,758517
299,664149
300,543342
301,961965
302,896472
303,776322
304,699078
305,769110
306,331794
307,693189
308,736386
309,682143
310,879561
311,723816
312,693591
313,656838
314,868068
315,920064
316,826509
317,511158
318,541980
319,367188
320,958701
321,849096
322,765807
323,890151
324,939003
325,254958
326,878496
327,889893
328,1342647
329,1010835
330,905184
331,1039920
332,884154
333,562989
334,1078449
335,557334
336,565137
337,679683
338,772554
339,684813
340,843612
341,745752
342,541515
343,931329
344,783426
345,1245222
346,983424
347,723252
348,425055
349,705273
350,972975
351,798261
352,422175
353,532725
354,936183
355,1176093
356,763338
357,850494
358,526728
359,681921
360,705741
361,961671
362,1073595
363,779235
364,718293
365,804456
366,1011855
367,881289
368,986535
369,321069
370,672672
371,863025
372,526722
373,527520
374,832614
375,1168563
376,821178
377,614685
378,650763
379,771558
380,953709
381,826611
382,887718
383,1060281
384,716835
385,858918
386,900579
387,1260135
388,960111
389,1337229
390,536097
391,320973
392,575829
393,779208
394,815943
395,561828
396,800280
397,881649
398,836427
399,821340
400,989151
401,811341
402,581058
403,309105
404,530148
405,750876
406,822405
407,900957
408,688437
409,774051
410,654426
411,681651
412,623823
413,738846
414,869385
415,552717
416,782037
417,528129
418,545535
419,951531
420,762942
421,838170
422,1018554
423,839883
425,748680
426,723582
427,741261
428,36066
429,1031268
430,754959
431,762375
432,669765
433,863385
434,1073553
435,572931
436,678420
437,1170621
438,777930
439,900048
440,682893
441,923082
442,908343
443,720318
439,350586
440,295722
441,224370
442,279765
443,197745
444,303801
445,177885
446,349599
447,359232
448,328656
451,252321
452,356199
453,385851
456,359799
457,348438
458,176097
460,351645
461,396498
462,320406
467,286422
468,348879
470,366369
474,333699
478,354414
479,315360
481,343992
482,317448
483,322863
485,343743
487,241233
488,249741
489,394134
490,189501
492,239274
493,342495
495,311331
496,349227
498,342879
499,341211
501,285618
504,402135
507,284619
508,380190
512,355797
513,351657
515,356340
517,383106
518,383283
519,353769
520,66090
523,357408
525,347304
526,302673
541,2290212
542,1607517
543,2073702
544,2467125
545,1433475
546,1905435
547,1349580
548,2664630
549,1215735
550,1827663
551,1221030
552,4321860
553,1113042
554,1508427
555,1623009
556,2047833
557,1406634
558,1801281
559,1768644
560,2276274
561,1552293
562,1224588
563,2506194
564,1458231
565,1306158
566,1372521
567,842328
568,1630215
569,1801515
570,3221589
571,2001645
572,1833918
573,1378068
574,1346388
575,1541910
576,1904739
577,1393215
578,1134804
579,2140197
580,1357095
581,1848966
582,2031357
583,2120406
584,1016493
585,1917705
586,2666580
587,1050492
588,1681320
589,817086
590,2023812
591,1650531
592,1700049
593,1992741
594,780969
595,1483224
596,2406492
597,1619832
598,1662576
599,1558956
600,1326825
601,2122242
602,2058831
603,1349166
604,2162664
605,2633409
606,1610697
607,994575
608,1633389
609,1507710
610,1700244
611,1476708
612,1438023
613,2265645
614,1981590
615,2907687
616,1582791
617,1444458
618,1463769
619,2857410
620,1228380
621,1175670
622,2769042
623,1415226
624,1253007
625,1379886
626,929265
627,1069983
628,2288751
629,962859
630,2438196
631,1958463
632,1982508
633,1991616
634,984528
635,3129717
636,3510171
637,1515990
638,1984425
639,1755048
640,1129806
641,2193489
642,1635495
643,1210614
644,1466877
645,2752683
646,1567347
647,1821915
648,3133707
649,1719381
650,1508895
651,1301397
652,1693545
653,759891
654,1642431
655,1265511
656,700362
657,971166
658,2888097
659,1289091
660,803619
661,2327685
662,1432929
663,1473144
664,1463652
665,1330116
666,2260752
667,1255713
668,1681020
669,2248707
670,1363587
671,1132224
672,2185809
673,1553208
674,2555427
675,2254251
676,3603189
677,1031664
678,3214722
679,1281537
680,1060530
681,1625676
682,2402838
683,1845903
684,1320498
685,1164789
686,3286596
687,898077
688,1919817
689,2223537
690,1489149
691,2141952
692,1538436
693,988050
694,1522719
695,1723734
696,2977470
697,887589
698,1344762
699,1348149
700,2046771
701,1245012
702,1779336
703,1161501
704,4195680
705,2085147
706,2295012
707,1894251
708,1246563
709,2339469
710,2012958
711,837327
712,3512775
713,1225221
714,1302180
715,1304709
716,2726223
717,1490991
718,1616211
719,611262
720,1517511
721,2532993
722,852492
723,721191
724,1516557
725,1818855
726,1185225
727,2119032
728,1568304
729,879909
730,1967295
731,1628010
732,2793012
733,2297952
734,1758573
735,1457226
736,1820052
737,3319488
738,2374260
739,313035
740,1341339
741,1913547
742,1814214
743,3297639
744,1456962
745,1971435
746,2124201
747,1181196
748,3311775
749,921831
750,4264920
751,1357647
752,1275309
753,1170819
754,1291893
755,2177928
756,1339836
757,1215675
758,1478868
759,2622852
760,1531995
761,2323761
762,715182
763,1014546
764,1605828
765,979938
766,1563381
767,1941771
768,1489632
769,2229582
770,974622
771,133281
772,1608276
773,1574412
774,1111434
775,2400225
776,2257707
777,742041
778,3830235
779,2253831
780,1515822
781,1926129
782,1010112
783,2044314
784,424026
785,1302078
786,1482090
787,1448343
788,112803
789,1273911
790,1060266
791,1986978
792,961038
793,1258758
794,752490
795,650958
796,2219190
797,1650489
798,987468
799,2363727
800,1345836
801,2275917
802,1092018
803,2513295
804,2422008
805,1705767
806,1537716
807,2809506
808,1325988
809,1865739
810,1371912
811,1144122
812,91719
813,1938537
814,1590012
815,868104
816,2108991
817,2105256
818,680007
819,2348811
820,1575432
821,2003778
822,2009559
823,1957080
825,1025367
826,33768
827,1694133
828,2517501
829,1645395
830,1356000
831,1315326
832,3047598
833,2932539
834,2597298
835,2952369
836,1213602
837,1098861
838,1276296
839,2192553
840,1510170
841,984348
842,778362
843,2281497
844,2453634
845,3113583
846,1216977
847,1025352
848,1052631
849,1287939
850,1642998
851,1699017
852,1812063
853,1975167
854,902958
855,1025604
875,4919529
876,2159313
877,3800505
878,3172830
879,4326879
880,3260298
881,1073817
882,5715429
883,3501573
884,3639516
885,2335146
886,3641244
887,5624430
888,1634622
889,2755800
890,4297299
891,3968256
892,2176659
893,2814492
894,4235418
895,3899874
896,3415776
897,2340135
898,3166524
899,4401510
900,1724910
901,3192246
902,4045722
903,3465273
904,1043772
905,4069251
906,5262708
