Date,Value
138,18381
141,18144
144,13803
148,14358
150,20886
152,18579
154,22806
155,12300
156,17883
157,15282
160,16095
161,23250
162,14313
165,14547
169,13728
173,20883
174,14790
175,16845
177,12753
179,7770
180,11499
187,14085
189,47355
190,5811
191,33774
192,12516
193,13269
195,11013
198,11400
200,11169
201,28734
202,18837
203,14865
204,13002
205,15591
206,13134
209,8592
210,9408
214,12306
215,12858
216,10806
217,28635
220,23313
222,80178
223,13596
224,12042
225,40890
227,18858
228,10920
229,12537
230,18759
233,12768
235,13323
238,14520
239,3912
240,19707
242,15465
243,15978
308,3621942
356,105
373,995367
374,1055868
375,999141
376,1015698
378,686952
379,1075905
382,781476
383,1155909
386,1066989
389,526200
391,1194804
392,892368
393,1321788
395,1090290
399,573066
400,962034
402,1174080
404,1085520
407,1006953
408,1140726
409,1002240
410,1028499
413,1148154
414,766338
416,923586
417,980385
419,997242
420,986718
422,1050555
423,755727
424,7284
429,614769
431,1163526
432,1367514
434,988077
435,1239978
436,1173897
438,527682
439,1130901
440,439290
442,1077495
443,1006899
446,583188
447,914451
449,952125
450,1019319
451,1367640
452,1016931
453,1006551
459,982722
460,839436
461,1063188
464,951915
465,888150
466,1112724
468,701907
469,1084137
470,1095687
471,1344783
473,1206702
475,502791
479,1183068
480,1104267
483,1335102
484,1179639
485,1232442
487,1069401
490,1296672
492,1054623
493,975678
495,1195929
496,1068291
497,1055664
498,1076160
501,1052901
502,872727
505,1412100
506,1066200
507,908715
508,859143
514,973929
517,995286
518,734412
519,962829
521,775155
522,817872
523,720708
524,1174434
527,823851
528,933114
530,1102833
531,1106478
533,1064253
534,577662
536,1001259
545,674661
546,1057794
547,873066
548,703353
549,1066221
550,603345
552,789780
553,1118538
554,879636
555,697299
556,994362
553,213327
554,220056
555,227691
556,179979
557,168447
558,213432
560,204837
561,190023
562,144885
564,192501
565,211851
567,230106
568,222393
570,228747
572,224616
574,67431
575,224967
576,3
577,197862
580,227298
581,183543
583,216516
584,220887
585,213414
586,234984
588,211356
589,22389
590,48156
593,220311
594,212115
595,212853
600,206451
601,175446
603,230154
604,226755
606,193266
609,217983
610,220395
631,1778520
632,2079459
633,1999314
634,2649639
635,1556427
636,1910322
637,1365561
638,1777776
639,1654155
640,1301028
641,1602360
642,1360380
644,1547961
645,2184111
646,1021845
648,2846892
649,1127094
651,1533780
653,2220660
654,2621925
655,2151
658,1151499
662,2244804
666,2316996
668,1420008
669,1288197
671,2470941
673,1451082
675,1583496
676,2318517
677,2908794
678,1756746
679,1504926
680,1622988
681,2047377
683,39780
684,1510374
688,2570826
690,1988592
691,2161359
696,1590993
697,1512873
698,2039601
703,396360
705,1658418
707,1442820
708,1287912
709,1562025
712,1370835
713,1320594
714,890745
715,1071639
718,1387329
719,2056296
720,1447164
722,1604496
723,2184954
726,1658877
728,2152770
730,2245674
731,1485282
732,2370444
733,1645845
734,2104059
737,2979012
738,1336878
739,1771512
741,2853660
744,2551188
745,1566648
747,1575117
748,2145045
750,1350111
754,1385820
755,1546899
756,1642365
757,1391844
759,1562577
760,2414490
761,1605663
762,2332077
763,980622
764,2337204
765,1439382
766,1767552
767,1648170
771,2273721
772,2242995
776,9633
778,2133072
779,1655181
780,2087430
781,816498
782,2096334
783,2529054
784,1565952
788,2035683
789,660663
790,2193429
792,2033928
795,1588608
797,2261295
798,1608894
799,1320963
800,1993707
803,1547073
804,1445277
806,1085787
807,1506483
809,2339184
810,2232765
811,1446096
812,1596501
813,1379442
814,2303433
815,2118786
817,1381461
819,2209272
821,1398423
825,2339451
826,3003054
827,1603299
828,3229569
829,1363797
832,636201
833,1554801
834,1773204
838,1900620
840,2136273
841,2318346
842,2481
844,1321488
847,2096520
849,2490978
850,2059446
851,2387964
852,1494759
854,2235633
855,1404162
857,610710
858,1514223
859,1588167
860,2539791
861,1707036
863,1476
864,1504710
865,2771145
867,1934730
868,1265085
869,2467053
870,976833
871,1549617
872,1772682
873,1384971
876,1089018
878,3300558
881,1580646
882,1439640
889,1791132
890,1597944
893,2978775
894,2156607
895,2663049
898,2539854
899,1337028
900,1871259
901,2133978
902,2195079
903,1578141
904,1768686
907,2049048
910,1291545
912,1198365
913,938085
914,2324772
915,1621209
916,1236774
917,1522209
919,2283351
921,1607691
922,1455342
923,543477
925,2237205
927,1195773
928,1357653
931,1572516
932,2155863
933,2091096
934,1643247
936,1714839
937,2255172
938,1556394
940,2912598
941,2017500
942,313221
943,1623372
947,894087
949,1408851
950,1187298
951,3082512
954,1612404
955,2039799
957,1468596
958,2028984
959,1305690
960,6819
939,58788
940,63471
941,60777
943,10095
945,66168
946,65145
949,65769
950,64440
951,64797
953,62655
954,63339
955,66648
958,75
959,65568
963,64422
965,69105
966,58737
967,57843
969,63981
970,65457
971,57045
972,65688
973,65856
975,65424
977,57390
978,63594
980,55881
981,64914
983,53280
984,56910
986,64875
987,62550
990,64500
992,64731
994,62160
995,52716
996,65655
1011,912159
1012,1390611
1013,920052
1014,1306839
1015,604068
1016,769140
1017,532257
1018,593349
1019,825636
1020,545574
1021,1109466
1022,518043
1023,1092549
1024,27
1025,704652
1026,743499
1027,587604
1029,935346
1032,646998
1033,1236801
1036,674490
1038,731352
1039,1118199
1041,1402164
1044,1180785
1045,1176879
1048,947379
1049,1147143
1050,654798
1051,861078
1052,305010
1055,247755
