Date,Value
08-06-2019,2522745.2604166665
07-24-2019,1076274.5
07-17-2019,1631493.486111111
07-03-2019,167996.10344827586
07-31-2019,2131070.4078947366
07-08-2019,653977.8214285715
07-01-2019,17194.25874125874
