"#NAMES"
"Date/Time","Water Over Sensor","Water Surface Elevation","Stage","Flow Rate","Target Flow","Gate Position","Target Gate"
"#TYPES"
"str","D","L","D","L","L","L","L"
"#ROWS","1346"
"07-01-2022 06:35:58 AM",,,"-2.9555752277374268",,,,
"07-01-2022 06:35:58 AM","-3.005575180053711",,"-2.9555752277374268",,,,
"07-01-2022 06:50:59 AM","-3.005575180053711",,"-2.9566903114318848",,,,
"07-01-2022 06:50:59 AM","-3.006690263748169",,"-2.9566903114318848",,,,
"07-01-2022 07:06:00 AM","-3.006690263748169",,"-2.9533450603485107",,,,
"07-01-2022 07:06:00 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:21:00 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:21:00 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:36:01 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:36:01 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:51:01 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 07:51:01 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 08:06:02 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 08:06:02 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 08:21:02 AM","-3.003345012664795",,"-2.952230215072632",,,,
"07-01-2022 08:21:02 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 08:36:02 AM","-3.002230167388916",,"-2.9555752277374268",,,,
"07-01-2022 08:36:02 AM","-3.005575180053711",,"-2.9555752277374268",,,,
"07-01-2022 08:51:03 AM","-3.005575180053711",,"-2.952230215072632",,,,
"07-01-2022 08:51:03 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 09:06:04 AM","-3.002230167388916",,"-2.9533450603485107",,,,
"07-01-2022 09:06:04 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 09:21:04 AM","-3.003345012664795",,"-2.952230215072632",,,,
"07-01-2022 09:21:04 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 09:36:04 AM","-3.002230167388916",,"-2.951115131378174",,,,
"07-01-2022 09:36:04 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 09:51:04 AM","-3.001115083694458",,"-2.9533450603485107",,,,
"07-01-2022 09:51:04 AM","-3.003345012664795",,"-2.9533450603485107",,,,
"07-01-2022 10:06:04 AM","-3.003345012664795",,"-2.951115131378174",,,,
"07-01-2022 10:06:04 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 10:21:05 AM","-3.001115083694458",,"-2.952230215072632",,,,
"07-01-2022 10:21:05 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 10:36:06 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 10:36:06 AM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 10:51:06 AM","-3.002230167388916",,"-2.951115131378174",,,,
"07-01-2022 10:51:06 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:06:07 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:06:07 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:21:07 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:21:07 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:36:08 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:36:08 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:51:09 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 11:51:09 AM","-3.001115083694458",,"-2.951115131378174",,,,
"07-01-2022 12:06:09 PM","-3.001115083694458",,"-2.952230215072632",,,,
"07-01-2022 12:06:09 PM","-3.002230167388916",,"-2.952230215072632",,,,
"07-01-2022 12:21:09 PM","-3.002230167388916",,"-2.952230215072632",,,,
